Benchmark,,,accnn,,gt,,masterrtl,,rtltimer,,ours,,,,
Design,#K nodes,#K ep,R2,MAPE (%),R2,MAPE (%),R2,MAPE (%),R2,MAPE (%),R2,MAPE (%),,,
gpio,1.8,0.4,0.15,13.8,-0.11,19.8,0.16,14.5,-0.15,13.6,0.91,4.6,,1793,375
pwm,3.6,0.2,0.66,10.4,-0.41,24.9,0.75,10.2,0.55,12.2,0.84,7.1,,3555,162
ps2,3.7,0.2,0.54,15.4,-0.06,30.2,0.18,20.6,0.71,11.2,0.78,10.6,,3713,204
ac97_ctrl,7.1,0.4,0.61,13.5,0.00,29.0,-0.04,22.3,0.38,16.2,0.74,10.8,,7102,365
pid_controller,9.0,0.4,0.40,10.9,-0.70,23.1,0.31,14.0,0.79,6.8,0.76,7.1,,9013,416
wb_lcd,10.1,0.6,0.60,9.3,-0.26,21.4,0.10,16.8,0.76,7.5,0.93,4.5,,10081,641
uart16550,11.3,0.6,0.26,8.8,-0.74,19.0,-0.31,14.0,0.65,6.5,0.78,5.4,,11294,560
systemcaes,15.4,0.7,0.12,12.6,-1.18,28.6,0.47,12.0,0.58,10.9,0.79,6.4,,15383,670
picorv32,28.6,1.6,0.67,5.8,-2.15,22.5,0.10,10.7,0.69,5.6,0.83,3.8,,28566,1553
oc_wb_dma,32.5,2.0,-0.02,10.7,-1.47,28.9,0.57,11.1,0.69,8.7,0.81,6.5,,32526,1953
wb_dma,32.5,0.7,0.06,21.3,-0.41,31.7,0.69,12.2,0.63,12.3,0.95,4.5,,32526,701
oc_mem_ctrl,34.9,1.8,-0.70,23.0,-1.12,34.4,0.57,17.3,0.42,17.0,0.61,13.4,,34868,1779
y_quantizer,40.7,2.8,0.54,16.1,-0.04,32.8,0.29,16.2,-0.66,26.6,0.80,10.9,,40716,2820
y_huff,41.6,2.4,0.51,11.9,-0.01,22.1,-0.10,18.7,0.07,14.7,0.79,8.2,,41599,2350
wb_conmax,59.8,2.0,0.16,9.6,-1.49,21.3,0.14,11.0,0.70,6.3,0.84,4.4,,59757,2032
ecg,177.7,7.3,-0.15,13.6,-0.06,21.4,-0.11,17.1,0.49,10.2,0.78,7.0,,177746,7251
y_dct,227.6,5.3,-0.34,14.9,-0.41,23.0,0.61,12.4,0.53,11.6,0.79,7.9,,227603,5331
aes128,256.5,10.7,0.48,21.8,-0.137,43.9,0.50,17.6,0.33,20.8,0.96,5.2,,256505,10694
AVG.,55.2,2,0.25,13.5,-0.60,26.6,0.27,14.9,0.45,12.2,0.82,7.1,,,2214
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
